Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1679400077.969018,1679400077.969802,72.000000,0.000000,2223.076904,2232.307617,2366.153809,2246.666748,2100.512939,2064.871826,2184.871826,2621.538574,2769.743652,2282.564209,2039.487183,2337.179443,2292.692383,2139.102539,1452.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.013422,0.619690,-0.047974,0.783264,0.000000,0.000000,0.000000,-41.441242,14.917953,42.642071
1679400077.976826,1679400077.977610,73.000000,0.000000,2257.307617,2261.666748,2382.820557,2271.025635,2132.948730,2103.974365,2216.794922,2658.846191,2805.256348,2358.333252,2095.769287,2374.102539,2340.897461,2172.820557,2540.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400077.984635,1679400077.985319,74.000000,0.000000,2272.948730,2270.897461,2397.051270,2285.897461,2159.871826,2128.205078,2247.435791,2686.281982,2813.461426,2385.256348,2117.948730,2406.025635,2366.025635,2198.076904,2675.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400077.992443,1679400077.993127,75.000000,0.000000,2283.461426,2271.153809,2410.897461,2306.923096,2175.384521,2156.153809,2278.461426,2711.410156,2813.846191,2404.102539,2136.410156,2421.923096,2383.333252,2214.358887,2728.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.000251,1679400078.000836,76.000000,0.000000,2308.589844,2295.897461,2435.128174,2336.153809,2207.692383,2199.615479,2321.923096,2751.666748,2820.512939,2462.820557,2185.256348,2456.923096,2420.641113,2247.435791,2990.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.007139,0.617554,-0.056213,0.784485,0.857038,0.104505,0.502503,-41.280453,14.976157,41.927864
1679400078.008060,1679400078.008644,77.000000,0.000000,2336.153809,2324.871826,2455.897461,2354.487061,2258.846191,2230.641113,2358.333252,2786.538574,2819.615479,2504.358887,2222.435791,2489.615479,2447.307617,2279.358887,2782.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.015868,1679400078.016353,78.000000,0.000000,2356.153809,2330.512939,2470.256348,2365.769287,2291.153809,2249.358887,2380.897461,2807.307617,2820.897461,2505.128174,2235.384521,2510.256348,2459.358887,2296.538574,2675.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.023676,1679400078.024161,79.000000,0.000000,2383.589844,2344.615479,2499.102539,2396.923096,2311.281982,2270.897461,2406.025635,2837.179443,2836.410156,2531.666748,2268.974365,2546.538574,2494.487061,2328.461426,2728.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.031484,1679400078.031870,80.000000,0.000000,2425.641113,2394.230713,2536.410156,2444.871826,2359.487061,2296.281982,2436.666748,2878.461426,2854.102539,2598.205078,2320.641113,2590.897461,2542.820557,2375.897461,2990.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.011845,0.620361,-0.055115,0.782288,1.455256,1.285802,0.536198,-41.085739,14.845208,41.451744
1679400078.039293,1679400078.039678,81.000000,0.000000,2462.948730,2447.692383,2562.051270,2485.512939,2412.692383,2326.410156,2457.051270,2901.281982,2853.333252,2630.256348,2348.205078,2618.846191,2564.358887,2408.461426,2782.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
